"ID","FLDNAME","TBLNAME","CRFNAME","QUESTION","TEXT","STATUS","DEPRULE","TYPE","LENGTH","DECIML","RANGEVAL","RANGESQL","RANGEPRL","UNITS","CODE","NOTES","OBJID","COLID","RANGEJSCPT","NAVJSCPT","FTYPE","TAB","DE","MC","VISIBLE","LOGVISIBLE","MTBLNAME","SUBTBLNAME","POPJSCPT","GRID","DEF","update_stamp"
"","RID","UPENNBIOMK9","UPENN CSF Biomarkers Elecsys","-4","Participant roster ID","-4","-4","-4","-4","-4","-4","-4","-4","","","The 4 digit roster ID (RID) should be used to merge data","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2017-04-20 14:39:44.0"
"","VISCODE","UPENNBIOMK9","UPENN CSF Biomarkers Elecsys","-4","Visit code","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2017-04-20 14:39:44.0"
"","VISCODE2","UPENNBIOMK9","UPENN CSF Biomarkers Elecsys","-4","Translated visit code","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","Months from baseline rounded to nearest 6 months","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2017-04-20 14:39:44.0"
"","EXAMDATE","UPENNBIOMK9","UPENN CSF Biomarkers Elecsys","-4","Examination Date","-4","-4","-4","-4","-4","-4","-4","-4","","","","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2017-04-20 14:39:44.0"
"","PHASE","UPENNBIOMK9","UPENN CSF Biomarkers Elecsys","-4","Study Phase","-4","-4","-4","-4","-4","-4","-4","-4","","","","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2017-04-20 14:39:44.0"
"","BATCH","UPENNBIOMK9","UPENN CSF Biomarkers Elecsys","-4","Analytical batch of results","-4","-4","-4","-4","-4","-4","-4","-4","","","","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2017-04-20 14:39:44.0"
"","KIT","UPENNBIOMK9","UPENN CSF Biomarkers Elecsys","-4","Reagents lot number","-4","-4","-4","-4","-4","-4","-4","-4","","","","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2017-04-20 14:39:44.0"
"","STDS","UPENNBIOMK9","UPENN CSF Biomarkers Elecsys","-4","Calibrators and Quality Controls lot number","-4","-4","-4","-4","-4","-4","-4","-4","","","","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2017-04-20 14:39:44.0"
"","RUNDATE","UPENNBIOMK9","UPENN CSF Biomarkers Elecsys","-4","Date of analytical run","-4","-4","-4","-4","-4","-4","-4","-4","","","","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2017-04-20 14:39:44.0"
"","ABETA","UPENNBIOMK9","UPENN CSF Biomarkers Elecsys","-4","Result","-4","-4","-4","-4","-4","-4","-4","-4","pg/ml","","","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2017-04-20 14:39:44.0"
"","TAU","UPENNBIOMK9","UPENN CSF Biomarkers Elecsys","-4","Result","-4","-4","-4","-4","-4","-4","-4","-4","pg/ml","","","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2017-04-20 14:39:44.0"
"","PTAU","UPENNBIOMK9","UPENN CSF Biomarkers Elecsys","-4","Result","-4","-4","-4","-4","-4","-4","-4","-4","pg/ml","","","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2017-04-20 14:39:44.0"
"","COMMENT","UPENNBIOMK9","UPENN CSF Biomarkers Elecsys","-4","Comment","-4","-4","-4","-4","-4","-4","-4","-4","","","Extrapolated ABETA result","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2017-04-20 14:39:44.0"
