"ID","FLDNAME","TBLNAME","CRFNAME","QUESTION","TEXT","STATUS","DEPRULE","TYPE","LENGTH","DECIML","RANGEVAL","RANGESQL","RANGEPRL","UNITS","CODE","NOTES","OBJID","COLID","RANGEJSCPT","NAVJSCPT","FTYPE","TAB","DE","MC","VISIBLE","LOGVISIBLE","MTBLNAME","SUBTBLNAME","POPJSCPT","GRID","DEF","update_stamp"
"","RID","UPENNBIOMK_MASTER","UPENN CSF Biomarker Master","-4","Participant roster ID","-4","-4","-4","-4","-4","-4","-4","-4","","","The 4 digit roster ID (RID) should be used to merge data","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2016-07-06 16:15:27.0"
"","VISCODE","UPENNBIOMK_MASTER","UPENN CSF Biomarker Master","-4","Visit code","-4","-4","-4","-4","-4","-4","-4","-4","","","","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2016-07-06 16:15:27.0"
"","BATCH","UPENNBIOMK_MASTER","UPENN CSF Biomarker Master","-4","Name of LONI table, corresponding to analytical batch of results","-4","-4","-4","-4","-4","-4","-4","-4","","","Additional information","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2016-07-06 16:15:27.0"
"","KIT","UPENNBIOMK_MASTER","UPENN CSF Biomarker Master","-4","Reagents lot number","-4","-4","-4","-4","-4","-4","-4","-4","","","Additional information","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2016-07-06 16:15:27.0"
"","STDS","UPENNBIOMK_MASTER","UPENN CSF Biomarker Master","-4","Calibrators and Quality Controls lot number","-4","-4","-4","-4","-4","-4","-4","-4","","","Additional information","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2016-07-06 16:15:27.0"
"","DRAWDTE","UPENNBIOMK_MASTER","UPENN CSF Biomarker Master","-4","Date of CSF draw","-4","-4","-4","-4","-4","-4","-4","-4","","","Additional information","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2016-07-06 16:15:27.0"
"","RUNDATE","UPENNBIOMK_MASTER","UPENN CSF Biomarker Master","-4","Date of analytical run","-4","-4","-4","-4","-4","-4","-4","-4","","","Additional information","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2016-07-06 16:15:27.0"
"","ABETA","UPENNBIOMK_MASTER","UPENN CSF Biomarker Master","-4","Result rescaled to UPENNBIOMK","-4","-4","-4","-4","-4","-4","-4","-4","pg/ml","","Additional information","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2016-07-06 16:15:27.0"
"","TAU","UPENNBIOMK_MASTER","UPENN CSF Biomarker Master","-4","Result rescaled to UPENNBIOMK","-4","-4","-4","-4","-4","-4","-4","-4","pg/ml","","Additional information","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2016-07-06 16:15:27.0"
"","PTAU","UPENNBIOMK_MASTER","UPENN CSF Biomarker Master","-4","Result rescaled to UPENNBIOMK","-4","-4","-4","-4","-4","-4","-4","-4","pg/ml","","Additional information","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2016-07-06 16:15:27.0"
"","ABETA_RAW","UPENNBIOMK_MASTER","UPENN CSF Biomarker Master","-4","Original (raw) result, before rescaling","-4","-4","-4","-4","-4","-4","-4","-4","pg/ml","","Additional information","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2016-07-06 16:15:27.0"
"","TAU_RAW","UPENNBIOMK_MASTER","UPENN CSF Biomarker Master","-4","Original (raw) result, before rescaling","-4","-4","-4","-4","-4","-4","-4","-4","pg/ml","","Additional information","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2016-07-06 16:15:27.0"
"","PTAU_RAW","UPENNBIOMK_MASTER","UPENN CSF Biomarker Master","-4","Original (raw) result, before rescaling","-4","-4","-4","-4","-4","-4","-4","-4","pg/ml","","Additional information","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2016-07-06 16:15:27.0"
