author,journal,title,url,volume
"Ming-Wei Lin, Cheng Ling, Luis A. Agapito, Nicholas Kioussis, Yiyang Zhang, Mark Ming-Cheng Chen",PHYSICAL REVIEW B,"""Approaching the intrinsic band gap in suspended high-mobility graphene nanoribbons""",Papers/2011/PhysRevB_84_125411_2011.pdf,84
"JAdam Gali, Efthimios Kaxiras, Gergely T. Zimanyi, Sheng Men",PHYSICAL REVIEW B,"""Effect of symmetry breaking on the optical absorption of semiconductor nanoparticles""",Papers/2011/PhysRevB_84_035325_2011.pdf,84
"Jan M. Knaup, Han Li, Joost J. Vlassak, and Efthimios Kaxira",PHYSICAL REVIEW B,"""Influence of CH2 content and network defects on the elastic properties of organosilicate glasses""",Papers/2011/PhysRevB_83_054204_2011.pdf,83
"Martin Heiss, Sonia Conesa-Boj, Jun Ren, Hsiang-Han Tseng, Adam Gal",PHYSICAL REVIEW B,"""Direct correlation of crystal structure and optical properties in wurtzite/zinc-blende
GaAs nanowire heterostructures""",Papers/2011/PhysRevB_83_045303_2011.pdf,83
"Simone Melchionna, Efthimios Kaxiras, Massimo Bernaschi and Sauro Succ",Phil. Trans. R. Soc. A,"""Endothelial shear stress from large-scale blood flow simulations""",Papers/2011/PhilTransRSocA_369_2354_2011.pdf,369
"J R Maze, A Gali, E Togan, Y Chu, A Trifono",New Journal of Physics,"""Properties of nitrogen-vacancy centers in diamond:
the group theoretic approach""",Papers/2011/NewJPhys_13_025025_2011.pdf,13
"Kejie Zhao, Wei L. Wang, John Gregoire, Matt Pharr, Zhigang Su",Nano Lett.,"""Lithium-Assisted Plastic Deformation of Silicon Electrodes in
Lithium-Ion Batteries: A First-Principles Theoretical Study""",Papers/2011/NanoLett_11_2962-2967_2011.pdf,11
"Masataka Katono, Takeru Bessho, Sheng Meng, Robin Humphry-Baker, Guido Rothenberge",Langmuir,"""D-Ï€-A Dye System Containing Cyano-Benzoic Acid as Anchoring
Group for Dye-Sensitized Solar Cells""",Papers/2011/Langmuir_27_14248_2011.pdf,27
"Thomas D. Kuhne, Tod A. Pascal, Efthimios Kaxiras, and Yousung Jun",J. Phys. Chem. Lett.,"""New Insights into the Structure of the Vapor/Water
Interface from Large-Scale First-Principles Simulations""",Papers/2011/JPhysChemLett_2_105-113_2011.pdf,2
"Sheng Meng, Efthimios Kaxiras, Md. K. Nazeeruddin, and Michael Gratze",J. Phys. Chem. C,"""Design of Dye Acceptors for Photovoltaics from First-Principles
Calculations""",Papers/2011/JPhysChemC_115_9276-9282_2011.pdf,115
